Date;Open;High;Low;Close;Adj Close;Volume
03/05/2022;41.500.000;42.060.001;40.919.998;41.439.999;41.439.999;2189900
04/05/2022;41.410.000;41.759.998;40.509.998;41.619.999;41.619.999;1532300
05/05/2022;41.150.002;41.779.999;39.619.999;40.110.001;40.110.001;2668600
06/05/2022;40.060.001;40.490.002;39.150.002;39.500.000;39.500.000;1766800
09/05/2022;39.389.999;40.860.001;38.720.001;40.490.002;40.490.002;3354800
10/05/2022;40.799.999;40.799.999;39.209.999;39.209.999;39.209.999;2523000
11/05/2022;39.310.001;41.200.001;38.730.000;40.820.000;40.820.000;3547900
12/05/2022;40.779.999;41.619.999;39.820.000;40.279.999;40.279.999;2768200
13/05/2022;40.590.000;42.480.000;40.349.998;41.860.001;41.860.001;2178500
16/05/2022;41.860.001;43.009.998;41.459.999;42.400.002;42.400.002;2324400
17/05/2022;42.830.002;44.349.998;42.639.999;44.150.002;44.150.002;2864900
18/05/2022;44.090.000;44.090.000;42.000.000;42.590.000;42.590.000;2964800
19/05/2022;42.639.999;43.049.999;41.910.000;42.599.998;42.599.998;3845800
20/05/2022;43.200.001;43.490.002;42.560.001;43.110.001;43.110.001;1562800
23/05/2022;43.610.001;44.220.001;43.360.001;43.919.998;43.919.998;1204900
24/05/2022;43.689.999;44.169.998;43.040.001;43.990.002;43.990.002;2215300
25/05/2022;43.630.001;43.840.000;42.830.002;43.279.999;43.279.999;1675900
26/05/2022;43.049.999;43.720.001;42.619.999;42.810.001;42.810.001;1791300
27/05/2022;42.580.002;43.130.001;42.419.998;42.860.001;42.860.001;2024400
30/05/2022;43.000.000;44.340.000;42.759.998;43.959.999;43.959.999;2408600
31/05/2022;44.330.002;45.500.000;44.060.001;44.500.000;44.500.000;4569500
01/06/2022;44.860.001;46.200.001;43.820.000;45.580.002;45.580.002;3972700
02/06/2022;45.810.001;46.220.001;45.330.002;45.849.998;45.849.998;1724300
03/06/2022;45.650.002;46.680.000;45.349.998;46.110.001;46.110.001;2126200
06/06/2022;46.290.001;46.959.999;45.880.001;46.080.002;46.080.002;1405500
07/06/2022;45.810.001;46.250.000;44.650.002;44.990.002;44.990.002;2311000
08/06/2022;44.490.002;45.500.000;44.400.002;44.730.000;44.730.000;1836700
09/06/2022;44.560.001;45.200.001;44.250.000;44.509.998;44.509.998;1510100
10/06/2022;43.990.002;44.730.000;43.599.998;44.090.000;44.090.000;1737400
13/06/2022;43.340.000;44.060.001;41.889.999;42.150.002;42.150.002;2871600
14/06/2022;42.230.000;42.599.998;40.840.000;41.389.999;41.389.999;1936100
15/06/2022;41.910.000;42.070.000;40.450.001;40.450.001;40.450.001;2157800
17/06/2022;39.910.000;40.080.002;37.360.001;37.360.001;37.360.001;4954800
20/06/2022;37.490.002;37.700.001;36.029.999;36.500.000;36.500.000;3152200
21/06/2022;36.810.001;37.750.000;36.439.999;37.189.999;37.189.999;2455900
22/06/2022;36.840.000;37.209.999;36.250.000;36.799.999;36.799.999;2054000
23/06/2022;37.020.000;37.860.001;36.610.001;37.000.000;37.000.000;1790500
24/06/2022;37.310.001;38.200.001;36.939.999;37.849.998;37.849.998;1927900
27/06/2022;38.099.998;39.500.000;37.900.002;38.900.002;38.900.002;2171900
28/06/2022;39.250.000;40.110.001;39.070.000;39.500.000;39.500.000;1256900
29/06/2022;39.389.999;40.209.999;38.000.000;38.070.000;38.070.000;1720600
30/06/2022;37.529.999;37.939.999;37.000.000;37.240.002;37.240.002;2669400
01/07/2022;36.709.999;37.599.998;36.160.000;37.330.002;37.330.002;2085000
04/07/2022;37.080.002;37.500.000;36.049.999;36.299.999;36.299.999;1528100
05/07/2022;36.029.999;36.150.002;34.630.001;35.320.000;35.320.000;2283400
06/07/2022;35.180.000;35.240.002;33.400.002;33.700.001;33.700.001;2525200
07/07/2022;33.939.999;35.799.999;33.930.000;35.090.000;35.090.000;2639100
08/07/2022;35.150.002;35.389.999;34.349.998;34.480.000;34.480.000;1652800
11/07/2022;33.400.002;34.279.999;33.349.998;34.150.002;34.150.002;1796100
12/07/2022;33.990.002;34.590.000;33.680.000;34.220.001;34.220.001;1980100
13/07/2022;34.200.001;34.799.999;33.889.999;33.889.999;33.889.999;1566900
14/07/2022;33.599.998;33.889.999;32.860.001;33.020.000;33.020.000;1369100
15/07/2022;33.230.000;34.779.999;32.610.001;34.779.999;34.779.999;2986300
18/07/2022;35.009.998;35.480.000;33.849.998;33.959.999;33.959.999;1763200
19/07/2022;34.119.999;34.730.000;34.029.999;34.540.001;34.540.001;1033200
20/07/2022;34.279.999;35.000.000;34.110.001;34.799.999;34.799.999;1428800
21/07/2022;34.700.001;35.070.000;34.060.001;34.770.000;34.770.000;1281300
22/07/2022;34.799.999;35.230.000;33.790.001;34.080.002;34.080.002;1427300
25/07/2022;34.290.001;34.450.001;33.540.001;33.660.000;33.660.000;1334600
26/07/2022;33.500.000;33.849.998;33.090.000;33.770.000;33.770.000;1071600
27/07/2022;33.720.001;34.500.000;33.720.001;34.439.999;34.439.999;1124300
28/07/2022;34.299.999;35.200.001;34.299.999;34.930.000;34.930.000;1417100
29/07/2022;35.500.000;37.549.999;34.230.000;36.689.999;36.689.999;4099800
01/08/2022;36.020.000;36.119.999;34.660.000;34.660.000;34.660.000;2983400
02/08/2022;34.660.000;34.930.000;34.009.998;34.619.999;34.619.999;1607000
03/08/2022;34.919.998;35.470.001;34.459.999;34.570.000;34.570.000;1211500
04/08/2022;34.520.000;34.750.000;33.520.000;34.040.001;34.040.001;2333600
05/08/2022;34.310.001;36.000.000;34.090.000;35.250.000;35.250.000;1924200
08/08/2022;35.650.002;36.099.998;35.099.998;35.830.002;35.830.002;1198600
09/08/2022;35.990.002;36.619.999;35.660.000;36.619.999;36.619.999;1128400
10/08/2022;37.200.001;37.349.998;36.520.000;36.849.998;36.849.998;1749500
11/08/2022;36.299.999;36.299.999;35.310.001;35.500.000;35.500.000;2724900
12/08/2022;35.930.000;37.189.999;35.599.998;36.000.000;36.000.000;2421700
15/08/2022;35.900.002;35.900.002;34.150.002;34.250.000;34.250.000;2789300
16/08/2022;34.369.999;34.549.999;34.009.998;34.299.999;34.299.999;1877400
17/08/2022;34.090.000;34.639.999;34.000.000;34.459.999;34.459.999;2069300
18/08/2022;34.639.999;35.070.000;34.150.002;34.320.000;34.320.000;1546600
19/08/2022;34.189.999;34.290.001;33.599.998;33.709.999;33.709.999;1624800
22/08/2022;33.549.999;33.549.999;32.730.000;32.799.999;32.799.999;1825900
23/08/2022;32.889.999;33.450.001;32.709.999;33.099.998;33.099.998;1400100
24/08/2022;33.240.002;33.270.000;32.709.999;33.000.000;33.000.000;1229600
25/08/2022;33.900.002;34.000.000;33.029.999;33.169.998;33.169.998;1228000
26/08/2022;33.340.000;33.520.000;32.520.000;32.520.000;32.520.000;1292500
29/08/2022;32.330.002;33.320.000;31.940.001;32.820.000;32.820.000;1463700
30/08/2022;32.939.999;33.669.998;32.000.000;32.000.000;32.000.000;1670200
31/08/2022;32.200.001;32.240.002;30.450.001;30.450.001;30.450.001;5661500
01/09/2022;30.680.000;30.680.000;29.850.000;30.430.000;30.430.000;2503100
02/09/2022;31.540.001;32.869.999;31.540.001;32.509.998;32.509.998;4964100
05/09/2022;32.650.002;32.959.999;32.020.000;32.430.000;32.430.000;1438000
06/09/2022;32.130.001;33.250.000;31.500.000;31.780.001;31.780.001;2132100
08/09/2022;31.889.999;31.889.999;30.389.999;30.510.000;30.510.000;2881500
09/09/2022;31.160.000;31.320.000;30.580.000;30.910.000;30.910.000;1433100
12/09/2022;31.389.999;31.990.000;30.879.999;30.910.000;30.910.000;1690400
13/09/2022;30.740.000;31.070.000;29.700.001;29.700.001;29.700.001;2124100
14/09/2022;29.760.000;29.969.999;28.770.000;28.860.001;28.860.001;2719500
15/09/2022;28.969.999;29.660.000;28.459.999;28.549.999;28.549.999;2783200
16/09/2022;28.370.001;28.879.999;28.320.000;28.730.000;28.730.000;2214600
19/09/2022;28.590.000;29.860.001;28.160.000;29.730.000;29.730.000;4051500
20/09/2022;29.840.000;30.070.000;29.270.000;29.500.000;29.500.000;2050700
21/09/2022;29.450.001;29.730.000;29.090.000;29.129.999;29.129.999;1762200
22/09/2022;29.559.999;29.940.001;29.080.000;29.830.000;29.830.000;2049900
23/09/2022;29.280.001;29.350.000;28.340.000;28.670.000;28.670.000;2428200
26/09/2022;28.650.000;28.760.000;27.620.001;27.620.001;27.620.001;2980200
27/09/2022;27.889.999;27.900.000;27.160.000;27.280.001;27.280.001;1403800
28/09/2022;27.350.000;27.719.999;26.760.000;26.870.001;26.870.001;2065200
29/09/2022;26.500.000;26.750.000;25.360.001;26.040.001;26.040.001;3843900
30/09/2022;26.090.000;26.680.000;25.700.001;26.240.000;26.240.000;2263000
03/10/2022;27.000.000;27.620.001;26.730.000;27.469.999;27.469.999;2078500
04/10/2022;28.180.000;28.530.001;27.570.000;27.820.000;27.820.000;1951100
05/10/2022;27.840.000;28.180.000;27.160.000;27.910.000;27.910.000;2478700
06/10/2022;28.020.000;28.389.999;27.770.000;28.090.000;28.090.000;2010800
07/10/2022;27.940.001;28.370.001;27.150.000;27.410.000;27.410.000;2714200
10/10/2022;27.650.000;28.280.001;27.430.000;27.889.999;27.889.999;1999700
11/10/2022;31.760.000;34.299.999;30.200.001;33.580.002;33.580.002;18838000
13/10/2022;32.139.999;38.480.000;32.009.998;37.599.998;37.599.998;21412400
14/10/2022;37.549.999;38.900.002;35.680.000;35.880.001;35.880.001;9545200
17/10/2022;36.400.002;36.759.998;34.500.000;34.610.001;34.610.001;4901400
18/10/2022;34.930.000;35.980.000;34.320.000;34.860.001;34.860.001;3262000
19/10/2022;34.910.000;35.470.001;34.650.002;34.820.000;34.820.000;1907300
20/10/2022;35.160.000;35.450.001;33.799.999;34.410.000;34.410.000;2955500
21/10/2022;34.299.999;34.740.002;33.820.000;34.529.999;34.529.999;2434000
24/10/2022;34.680.000;36.000.000;33.119.999;33.740.002;33.740.002;4609200
25/10/2022;33.990.002;34.430.000;33.200.001;33.430.000;33.430.000;2541100
26/10/2022;33.439.999;33.619.999;32.750.000;32.889.999;32.889.999;1903800
27/10/2022;32.950.001;33.099.998;32.389.999;32.790.001;32.790.001;2058700
28/10/2022;32.700.001;33.360.001;31.930.000;32.540.001;32.540.001;1870100
31/10/2022;31.780.001;33.709.999;31.219.999;33.709.999;33.709.999;4850700
01/11/2022;34.000.000;34.049.999;32.310.001;32.959.999;32.959.999;2539600
03/11/2022;31.600.000;32.630.001;31.340.000;32.240.002;32.240.002;2933000
04/11/2022;33.660.000;35.080.002;32.730.000;33.330.002;33.330.002;7145700
07/11/2022;33.459.999;33.980.000;32.080.002;32.340.000;32.340.000;2670100
08/11/2022;32.439.999;32.439.999;31.389.999;31.629.999;31.629.999;2645100
